drug_name_lower,currently_resolves_to_bucket,bucket_generic_name,trials_referencing_this_name
rg-105,trastuzumab-qyyp,trastuzumab-qyyp,0
rg6537,...,...,0
rg7116,...,...,0
rg7458,...,...,0
rgt-587,...,...,0
rgv005,...,...,0
rh-es,unknown,Unknown,0
rhtnf,...,...,0
rhu mab vegf),trastuzumab-qyyp,trastuzumab-qyyp,0
rhumab 2c4,trastuzumab-qyyp,trastuzumab-qyyp,4
rhumab vegf,trastuzumab-qyyp,trastuzumab-qyyp,1
rhumab vegf),trastuzumab-qyyp,trastuzumab-qyyp,1
rhumab-vegf,trastuzumab-qyyp,trastuzumab-qyyp,0
ri,n/a,N/A,0
riabni,trastuzumab-qyyp,trastuzumab-qyyp,0
ric,n/a,N/A,1
ric transplant,...,...,0
ricortex,cortisone acetate,cortisone acetate,0
ricover-scheme rituximab,trastuzumab-qyyp,trastuzumab-qyyp,1
rilvegostomig,...,...,5
rimopride citrate,mosapride,mosapride,0
rimopride citrate dihydrate,mosapride,mosapride,0
riomet,metformin,metformin,0
rit,...,...,0
ritiximab,trastuzumab-qyyp,trastuzumab-qyyp,1
rituxan],trastuzumab-qyyp,trastuzumab-qyyp,0
rituxan™,trastuzumab-qyyp,trastuzumab-qyyp,0
rituximab (mabthera®,trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab + cyclophosphamide + doxorubicin + vincristine + prednisone,...,...,0
rituximab - chop,trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab - cvp,trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab -chop,trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab [mabthera,trastuzumab-qyyp,trastuzumab-qyyp,11
rituximab [mabthera],trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab as a means of debulking prior to initiating venetoclax.,trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab escalation phase,trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab expansion phase,trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab for induction therapy,trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab for patients,trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab i.v.,trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab in 28-day cycles for up to 12 cycles.,trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab maintenance,trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab paclitaxel ruxolitinib,trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab regimen,trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab s.c.,trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab window,trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab),trastuzumab-qyyp,trastuzumab-qyyp,1
"rituximab, paclitaxel, ruxolitinib",trastuzumab-qyyp,trastuzumab-qyyp,0
rituximab-abbs,trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab-arrx,trastuzumab-qyyp,trastuzumab-qyyp,0
rituximab-bendamustine,trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab-cvp,trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab-cyt,trastuzumab-qyyp,trastuzumab-qyyp,0
rituximab-hds,trastuzumab-qyyp,trastuzumab-qyyp,1
rituximab-hyaluronidase,...,...,0
rituximab-pvvr,trastuzumab-qyyp,trastuzumab-qyyp,0
rituxumab,trastuzumab-qyyp,trastuzumab-qyyp,2
riximyo,trastuzumab-qyyp,trastuzumab-qyyp,0
rla-5331,...,...,0
rmp1-14,"varies, see alternative names","Varies, see alternative names",0
